id,submitted_at,role,experience_years,industry,region,lifecycle_stage,funding_raised,employee_count,b1_primary_metric,b2_nsm_familiarity,b3_nsm_defined,b4_nsm_revised,b5_okr_familiarity,b6_okr_use,b7_experiments,b8_data_driven,b9_nsm_name,c1_value_alignment,c2_measurability,c3_actionability,c4_predictive_power,c5_team_alignment,c6_gaming_resistance,c7_experiment_sensitivity,c8_strategic_fit,d1_best_criterion,d2_worst_criterion,d3_best_to_others,d4_others_to_worst,e_metric_ratings,e1_other_metric,f1_selection_method,f2_changed_nsm,f2a_change_reason,f3_comments,b_business_model,b_growth_stage,bm_archetype
7a7a246c-11c3-479f-aa0f-ac07246feee7,2026-05-14 09:49:07.143439+00,ceo,lt2,Beauty and cosmetics,italy,seed,bootstrapped,1_10,3,heard_not_use,2,2,use_occasionally,2,4,3,null,7,7,6,5,6,5,6,7,value_alignment,predictive_power,"{""strategicfit"":8,""actionability"":8,""measurability"":8,""teamalignment"":8,""predictivepower"":8,""gamingresistance"":8,""experimentsensitivity"":8}","{""strategicfit"":8,""actionability"":8,""measurability"":8,""teamalignment"":8,""valuealignment"":8,""gamingresistance"":8,""experimentsensitivity"":8}","{""clv"":{""strategicfit"":5,""actionability"":4,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":4,""experimentsensitivity"":4},""dau"":{""strategicfit"":""na"",""actionability"":""na"",""measurability"":""na"",""teamalignment"":""na"",""valuealignment"":""na"",""predictivepower"":""na"",""gamingresistance"":""na"",""experimentsensitivity"":""na""},""mrr"":{""strategicfit"":4,""actionability"":4,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":4,""experimentsensitivity"":4},""retention"":{""strategicfit"":5,""actionability"":5,""measurability"":5,""teamalignment"":4,""valuealignment"":5,""predictivepower"":4,""gamingresistance"":4,""experimentsensitivity"":4}}",Monthly revenues. Just because we just started,leadership_decision,no,null,null,null,null,NA
66f85636-c3fb-4c43-a88c-d7277e67a748,2026-05-14 19:05:09.775065+00,marketing_manager,2to5,ecommerce,mea,early_growth,lt500k,11_50,3,use_occasionally,2,2,use_occasionally,4,5,4,Monthly orders,6,5,6,5,7,3,5,7,strategic_fit,experiment_sensitivity,"{""actionability"":9,""measurability"":9,""teamalignment"":6,""valuealignment"":9,""predictivepower"":8,""gamingresistance"":5,""experimentsensitivity"":3}","{""strategicfit"":9,""actionability"":9,""measurability"":9,""teamalignment"":6,""valuealignment"":9,""predictivepower"":8,""gamingresistance"":5}","{""clv"":{""strategicfit"":5,""actionability"":5,""measurability"":4,""teamalignment"":3,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":3,""experimentsensitivity"":2},""dau"":{""strategicfit"":5,""actionability"":5,""measurability"":5,""teamalignment"":5,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":5,""experimentsensitivity"":5},""mrr"":{""strategicfit"":5,""actionability"":4,""measurability"":4,""teamalignment"":4,""valuealignment"":5,""predictivepower"":4,""gamingresistance"":3,""experimentsensitivity"":2},""nps"":{""strategicfit"":5,""actionability"":3,""measurability"":4,""teamalignment"":3,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":3,""experimentsensitivity"":3},""retention"":{""strategicfit"":5,""actionability"":5,""measurability"":5,""teamalignment"":2,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":3,""experimentsensitivity"":2},""featureadoption"":{""strategicfit"":5,""actionability"":3,""measurability"":4,""teamalignment"":3,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":2}}",null,formal_process,yes,Feedbacks and information from market research,null,ecommerce,series_b,BM2
b956ad88-38c7-484c-93f0-8100e84da9dd,2026-05-25 16:33:17.432145+00,founder,5to10,saas,mea,early_growth,bootstrapped,11_50,5,use_regularly,5,4,use_regularly,5,5,5,Weekly Active Teams,7,7,6,7,7,6,6,7,value_alignment,experiment_sensitivity,"{""strategicfit"":2,""actionability"":4,""measurability"":3,""teamalignment"":4,""predictivepower"":5,""gamingresistance"":6,""experimentsensitivity"":8}","{""strategicfit"":7,""actionability"":6,""measurability"":5,""teamalignment"":5,""valuealignment"":8,""predictivepower"":7,""gamingresistance"":4}","{""clv"":{""strategicfit"":3,""actionability"":2,""measurability"":3,""teamalignment"":3,""valuealignment"":3,""predictivepower"":4,""gamingresistance"":2,""experimentsensitivity"":2},""dau"":{""strategicfit"":5,""actionability"":5,""measurability"":5,""teamalignment"":5,""valuealignment"":5,""predictivepower"":4,""gamingresistance"":3,""experimentsensitivity"":5},""mrr"":{""strategicfit"":5,""actionability"":4,""measurability"":5,""teamalignment"":4,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":3,""experimentsensitivity"":3},""nps"":{""strategicfit"":2,""actionability"":2,""measurability"":2,""teamalignment"":3,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":2,""experimentsensitivity"":2},""retention"":{""strategicfit"":5,""actionability"":4,""measurability"":4,""teamalignment"":5,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":4},""featureadoption"":{""strategicfit"":4,""actionability"":5,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":3,""experimentsensitivity"":5}}","Activation to Value Rate, measures how quickly new teams reach their first meaningful outcome in the product, because it strongly correlates with long term retention and expansion.",formal_process,yes,We shifted from a pure activity-based metric to a value-delivery metric because growth in usage alone did not consistently predict long-term retention and customer expansion. The updated metric better reflected meaningful customer outcomes and strategic direction.,We found that the best North Star Metrics evolve with the company stage and product maturity. Metrics that strongly reflect delivered customer value and long-term retention tend to create better alignment across teams than purely revenue-focused KPIs. We also believe metric simplicity and organization-wide clarity are critical for adoption.,saas,series_a,BM1
1ca8bcd2-157c-449c-b6d1-2d411551c755,2026-05-26 05:40:28.404072+00,marketing_manager,2to5,saas,mea,mature,bootstrapped,1_10,1,heard_not_use,1,1,use_occasionally,3,5,5,null,6,3,6,5,2,3,3,7,measurability,predictive_power,"{""strategicfit"":3,""actionability"":5,""teamalignment"":4,""valuealignment"":6,""predictivepower"":8,""gamingresistance"":2,""experimentsensitivity"":7}","{""strategicfit"":1,""actionability"":1,""measurability"":1,""teamalignment"":1,""valuealignment"":1,""gamingresistance"":1,""experimentsensitivity"":1}","{""clv"":{""strategicfit"":5,""actionability"":5,""measurability"":5,""teamalignment"":5,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":5,""experimentsensitivity"":5},""dau"":{""strategicfit"":4,""actionability"":5,""measurability"":5,""teamalignment"":1,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":2,""experimentsensitivity"":5},""mrr"":{""strategicfit"":2,""actionability"":5,""measurability"":5,""teamalignment"":4,""valuealignment"":4,""predictivepower"":3,""gamingresistance"":4,""experimentsensitivity"":3},""nps"":{""strategicfit"":5,""actionability"":2,""measurability"":4,""teamalignment"":4,""valuealignment"":2,""predictivepower"":5,""gamingresistance"":2,""experimentsensitivity"":5},""retention"":{""strategicfit"":3,""actionability"":5,""measurability"":5,""teamalignment"":3,""valuealignment"":5,""predictivepower"":4,""gamingresistance"":2,""experimentsensitivity"":2},""featureadoption"":{""strategicfit"":""na"",""actionability"":2,""measurability"":4,""teamalignment"":4,""valuealignment"":5,""predictivepower"":2,""gamingresistance"":5,""experimentsensitivity"":""na""}}",null,leadership_decision,no,null,null,saas,series_b,BM1
8240d6bd-d5b1-4a05-b70f-de5aa32c1e53,2026-06-04 07:56:37.620679+00,product_manager,5to10,saas,italy,early_growth,2m_10m,51_200,4,use_regularly,4,3,use_regularly,4,4,4,Activated Paid Users per Month,7,7,6,6,6,5,6,7,value_alignment,gaming_resistance,"{""strategicfit"":2,""actionability"":3,""measurability"":2,""teamalignment"":3,""predictivepower"":3,""gamingresistance"":5,""experimentsensitivity"":3}","{""strategicfit"":4,""actionability"":3,""measurability"":4,""teamalignment"":3,""valuealignment"":5,""predictivepower"":3,""experimentsensitivity"":3}","{""clv"":{""strategicfit"":4,""actionability"":3,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":3},""dau"":{""strategicfit"":4,""actionability"":4,""measurability"":5,""teamalignment"":4,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":3,""experimentsensitivity"":5},""mrr"":{""strategicfit"":5,""actionability"":4,""measurability"":5,""teamalignment"":4,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":5,""experimentsensitivity"":3},""nps"":{""strategicfit"":3,""actionability"":3,""measurability"":4,""teamalignment"":4,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":2},""retention"":{""strategicfit"":5,""actionability"":4,""measurability"":5,""teamalignment"":5,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":4},""featureadoption"":{""strategicfit"":5,""actionability"":5,""measurability"":5,""teamalignment"":5,""valuealignment"":5,""predictivepower"":4,""gamingresistance"":4,""experimentsensitivity"":5}}","Activated Paid Users per Month, chosen because it combines product activation with revenue relevance and shows whether users are reaching meaningful value after becoming paying customers.",formal_process,yes,"The original metric focused too much on sign-ups, but it did not show whether users were actually getting value from the product. We changed it to focus more on activated paid users, because this better reflects adoption, retention, and long-term growth.","Our organization reviews its primary growth metric on a quarterly basis. We assess whether it continues to represent customer value, product adoption, and revenue growth. A key challenge is finding a metric that teams can directly act on while still serving as a reliable indicator of long-term business performance.",saas,series_a,BM1
50370142-8ed6-4ac1-8641-9713fdb6cc03,2026-06-04 08:07:02.289528+00,founder,2to5,ecommerce,western_europe,seed,lt500k,1_10,3,heard_not_use,2,2,use_occasionally,3,3,3,Monthly Completed Orders,7,6,6,5,5,4,5,6,value_alignment,gaming_resistance,"{""strategicfit"":2,""actionability"":2,""measurability"":2,""teamalignment"":3,""predictivepower"":3,""gamingresistance"":5,""experimentsensitivity"":3}","{""strategicfit"":4,""actionability"":4,""measurability"":4,""teamalignment"":3,""valuealignment"":5,""predictivepower"":3,""experimentsensitivity"":3}","{""clv"":{""strategicfit"":4,""actionability"":3,""measurability"":3,""teamalignment"":3,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":3,""experimentsensitivity"":2},""dau"":{""strategicfit"":3,""actionability"":3,""measurability"":4,""teamalignment"":3,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":4},""mrr"":{""strategicfit"":""na"",""actionability"":""na"",""measurability"":""na"",""teamalignment"":""na"",""valuealignment"":""na"",""predictivepower"":""na"",""gamingresistance"":""na"",""experimentsensitivity"":""na""},""nps"":{""strategicfit"":3,""actionability"":2,""measurability"":3,""teamalignment"":3,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":2},""retention"":{""strategicfit"":5,""actionability"":4,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":3},""featureadoption"":{""strategicfit"":4,""actionability"":4,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":3,""experimentsensitivity"":4}}","Completed Orders per Month, chosen because it directly reflects marketplace activity and shows whether buyers and sellers are successfully completing transactions.",leadership_decision,no,null,"At this stage, our main challenge is choosing a metric that is simple enough for the whole team to understand but still meaningful for long-term growth. We currently focus on completed orders, but we may later move toward retention or repeat purchase rate as the business becomes more mature.",marketplace,seed,BM2
174536d5-fa86-41fd-b434-11e54849d73d,2026-06-04 08:18:01.148233+00,data_analytics,5to10,healthtech,western_europe,early_growth,2m_10m,51_200,4,use_occasionally,3,4,heard_not_use,2,3,4,Completed Patient Onboarding Journeys,6,7,5,6,4,5,3,6,measurability,experiment_sensitivity,"{""strategicfit"":2,""actionability"":4,""teamalignment"":5,""valuealignment"":2,""predictivepower"":3,""gamingresistance"":4,""experimentsensitivity"":6}","{""strategicfit"":5,""actionability"":4,""measurability"":7,""teamalignment"":3,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":4}","{""clv"":{""strategicfit"":4,""actionability"":2,""measurability"":3,""teamalignment"":3,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":2},""dau"":{""strategicfit"":3,""actionability"":3,""measurability"":5,""teamalignment"":4,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":4},""mrr"":{""strategicfit"":4,""actionability"":3,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":5,""experimentsensitivity"":2},""nps"":{""strategicfit"":3,""actionability"":3,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":2},""retention"":{""strategicfit"":5,""actionability"":4,""measurability"":5,""teamalignment"":4,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":3},""featureadoption"":{""strategicfit"":5,""actionability"":4,""measurability"":5,""teamalignment"":4,""valuealignment"":5,""predictivepower"":4,""gamingresistance"":4,""experimentsensitivity"":4}}","Clinics onboarded per month. We chose this because many clinics sign up or request a demo, but only some of them actually complete the setup and start using the product regularly.",organic_data,yes,"The previous metric focused on demo requests, but many of those leads did not become active users. The company changed the metric to focus on completed onboarding because it better shows real adoption.","In our organization, the main difficulty is connecting product usage metrics with business outcomes. Some metrics are easy to track, but they do not always show whether customers are receiving real value from the product.",b2b,series_a,BM3
fe6b715e-43db-4aeb-8b62-7685cfac3c58,2026-06-04 08:25:56.053252+00,marketing_manager,2to5,ecommerce,italy,seed,lt500k,11_50,3,heard_not_use,2,2,use_occasionally,3,4,3,Repeat purchases per month,6,7,6,5,4,3,6,5,measurability,gaming_resistance,"{""strategicfit"":4,""actionability"":2,""teamalignment"":5,""valuealignment"":3,""predictivepower"":4,""gamingresistance"":7,""experimentsensitivity"":3}","{""strategicfit"":4,""actionability"":6,""measurability"":7,""teamalignment"":3,""valuealignment"":5,""predictivepower"":4,""experimentsensitivity"":5}","{""clv"":{""strategicfit"":4,""actionability"":3,""measurability"":3,""teamalignment"":3,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":3,""experimentsensitivity"":2},""dau"":{""strategicfit"":3,""actionability"":4,""measurability"":5,""teamalignment"":3,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":2,""experimentsensitivity"":5},""mrr"":{""strategicfit"":""na"",""actionability"":""na"",""measurability"":""na"",""teamalignment"":""na"",""valuealignment"":""na"",""predictivepower"":""na"",""gamingresistance"":""na"",""experimentsensitivity"":""na""},""nps"":{""strategicfit"":3,""actionability"":2,""measurability"":3,""teamalignment"":4,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":2},""retention"":{""strategicfit"":5,""actionability"":4,""measurability"":4,""teamalignment"":4,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":3},""featureadoption"":{""strategicfit"":3,""actionability"":4,""measurability"":4,""teamalignment"":3,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":4}}","For us, one first purchase is not enough. We care more about whether people come back and buy again without needing too much discounting.",leadership_decision,yes,"At the beginning we were mostly looking at new orders, but that pushed us to spend too much on acquisition. Later we realized repeat purchases were a better signal that customers actually liked the product.","We are still not very advanced with metrics. Some decisions are based on data, but sometimes we just react to campaign results or sales pressure. I think the main issue is that different teams look at different numbers, so it is not always clear which metric should guide priorities.",ecommerce,seed,BM2
49bfcb68-d30d-45d9-8181-8611741ecbb4,2026-06-05 08:06:56.61156+00,operations,5to10,Logistics/Delivery/Mobility,italy,early_growth,2m_10m,51_200,3,heard_not_use,2,3,use_occasionally,3,2,4,Successful deliveries per week,5,7,6,5,5,4,3,6,measurability,experiment_sensitivity,"{""strategicfit"":3,""actionability"":2,""teamalignment"":3,""valuealignment"":3,""predictivepower"":4,""gamingresistance"":5,""experimentsensitivity"":6}","{""strategicfit"":5,""actionability"":5,""measurability"":7,""teamalignment"":3,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":2}","{""clv"":{""strategicfit"":3,""actionability"":2,""measurability"":3,""teamalignment"":3,""valuealignment"":3,""predictivepower"":4,""gamingresistance"":4,""experimentsensitivity"":2},""dau"":{""strategicfit"":2,""actionability"":3,""measurability"":4,""teamalignment"":3,""valuealignment"":2,""predictivepower"":2,""gamingresistance"":3,""experimentsensitivity"":3},""mrr"":{""strategicfit"":""na"",""actionability"":""na"",""measurability"":""na"",""teamalignment"":""na"",""valuealignment"":""na"",""predictivepower"":""na"",""gamingresistance"":""na"",""experimentsensitivity"":""na""},""nps"":{""strategicfit"":3,""actionability"":3,""measurability"":3,""teamalignment"":4,""valuealignment"":4,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":2},""retention"":{""strategicfit"":4,""actionability"":3,""measurability"":4,""teamalignment"":4,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":4,""experimentsensitivity"":2},""featureadoption"":{""strategicfit"":2,""actionability"":3,""measurability"":4,""teamalignment"":3,""valuealignment"":2,""predictivepower"":2,""gamingresistance"":3,""experimentsensitivity"":3}}","In our case the main thing is whether the order actually reaches the customer on time. We track revenue too, but operations problems show up faster in delivery completion.",organic_data,yes,"Before, we looked mostly at number of orders placed. But that was not enough, because some orders were delayed or cancelled. So we started looking more at successful deliveries instead.","From the operations side, I care more about metrics that show where the process is breaking. Sometimes management focuses on growth numbers, but if delivery quality is not stable, those numbers do not mean much.",Transaction based,series_a,BM2
aa91a8f6-c04f-4d46-8a7b-e5d5ab61c032,2026-06-08 08:10:38.645144+00,Business Strategy Consultant,gt10,saas,western_europe,scale_up,10m_50m,201_500,4,use_regularly,4,3,use_regularly,4,3,5,Accounts reaching weekly active usage,6,6,5,7,5,4,3,7,predictive_power,experiment_sensitivity,"{""strategicfit"":2,""actionability"":4,""measurability"":2,""teamalignment"":4,""valuealignment"":3,""gamingresistance"":5,""experimentsensitivity"":6}","{""strategicfit"":5,""actionability"":3,""measurability"":5,""teamalignment"":3,""valuealignment"":4,""predictivepower"":7,""gamingresistance"":2}","{""clv"":{""strategicfit"":5,""actionability"":2,""measurability"":3,""teamalignment"":3,""valuealignment"":4,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":1},""dau"":{""strategicfit"":3,""actionability"":4,""measurability"":5,""teamalignment"":4,""valuealignment"":4,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":5},""mrr"":{""strategicfit"":5,""actionability"":3,""measurability"":5,""teamalignment"":4,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":5,""experimentsensitivity"":2},""nps"":{""strategicfit"":3,""actionability"":2,""measurability"":4,""teamalignment"":4,""valuealignment"":3,""predictivepower"":3,""gamingresistance"":3,""experimentsensitivity"":2},""retention"":{""strategicfit"":5,""actionability"":4,""measurability"":5,""teamalignment"":5,""valuealignment"":5,""predictivepower"":5,""gamingresistance"":4,""experimentsensitivity"":3},""featureadoption"":{""strategicfit"":4,""actionability"":5,""measurability"":5,""teamalignment"":4,""valuealignment"":4,""predictivepower"":4,""gamingresistance"":3,""experimentsensitivity"":5}}","I usually prefer this over simple logins, because a company can have many users registered but only a few accounts actually using the product in a serious way.",formal_process,yes,"The old metric was too close to revenue only. It was useful for reporting, but it did not help product and customer success teams understand what to improve week by week.","In my view, companies often choose a metric that looks good in investor updates, but later realize it is not very practical internally. A good North Star Metric should connect strategy with daily work, but teams still end up following their own separate KPIs.",saas,series_b,BM1
